First set,Server,Opponent,Winner
"[4, -4, 5, -6, 4, -8, -8, -14, 12, -5]",Albot R.,Schwartzman D.,Schwartzman D.
"[-6, -10, 5, -6, 6, -5, 5, -4, 5, -6]",Federer R.,Albot R.,Federer R.
"[10, -6, -8, -5, 5, 5, 5, 6, 4]",Albot R.,Krajinovic F.,Albot R.
"[5, 5, -4, 4, 4, 5, -8, 5]",Lajovic D.,Albot R.,Albot R.
"[6, -5, 5, 6, -4, -4, 6, -10, -5, 4, 6, 5]",Bautista-Agut R.,Andujar-Alba P.,Bautista-Agut R.
"[4, -5, 4, -5, 10, -5, 6, -5, 8, -5, 24, -8, -5]",Andreozzi G.,Berrettini M.,Berrettini M.
"[8, 5, 8, 5, 4, 6]",Federer R.,Anderson K.,Federer R.
"[6, 4, -4, 5, -4, 6, -4, 5, -4, 5]",Nishikori K.,Anderson K.,Nishikori K.
"[-5, 5, 4, -4, 6, 4, -5, -14, 5, -4, -6, -8]",Fognini F.,Andreozzi G.,Fognini F.
"[-6, -5, -6, -4, -8, -4]",Garin C.,Anderson K.,Anderson K.
"[5, 12, 5, 6, 5, 14]",Anderson K.,Nishikori K.,Anderson K.
"[4, -8, 5, -5, 5, -6, 8, 6, 6]",Anderson K.,Basilashvili N.,Anderson K.
"[4, -10, 6, -5, -6, -8, -10, -8]",Aragone J.,Krajinovic F.,Krajinovic F.
"[5, -5, 6, -6, 5, -4, 4, -5, 5, -4, 4, -5, -8]",Auger-Aliassime F.,Eubanks C.,Eubanks C.
"[5, -4, 5, -5, 8, -10, 6, -6, 4, -5, 6, -4, 4]",Herbert P.,Auger-Aliassime F.,Herbert P.
"[6, -6, 4, -8, 4, -4, -6, -4, 8, -6]",Auger-Aliassime F.,Karatsev A.,Karatsev A.
"[6, -8, 6, 8, -5, -4, -5, -10, 5, -8]",Auger-Aliassime F.,Millman J.,Millman J.
"[8, -5, 5, 5, -8, -4, 6, -6, 10, -4, 6, -10, 5]",Tsitsipas S.,Auger-Aliassime F.,Tsitsipas S.
"[6, -5, 4, 8, 4, -10, 5, -8, 10]",Tsitsipas S.,Auger-Aliassime F.,Tsitsipas S.
"[10, -6, 5, -4, -5, -5, 4, -4, -6]",Auger-Aliassime F.,Zverev A.,Zverev A.
"[6, -6, 8, -8, 6, -8, 5, -6, 5, -4, 4, -8, 10]",Auger-Aliassime F.,Nishioka Y.,Nishioka Y.
"[10, -6, 8, -4, 5, -6, 4, -5, 8, -5, -5, 6, 6]",Auger-Aliassime F.,Basilashvili N.,Auger-Aliassime F.
"[5, -5, 8, -6, 4, -10, 5, -12, 5, 8]",Auger-Aliassime F.,Bedene A.,Auger-Aliassime F.
"[5, -5, 5, -6, 8, 5, -6, -5, 10, -20, 10, -4, 8]",Auger-Aliassime F.,Coric B.,Auger-Aliassime F.
"[6, -5, 4, -5, 5, -4, 6, -5, 4, -6, 5, -4, 5]",Auger-Aliassime F.,Lorenzi P.,Auger-Aliassime F.
"[6, 6, 4, -4, 6, -6, 8, -5, 4]",Auger-Aliassime F.,Norrie C.,Auger-Aliassime F.
"[5, -8, 4, 5, 4, -4, 5, -14, 5]",Auger-Aliassime F.,Ramos A.,Auger-Aliassime F.
"[6, 6, -6, -12, 8, -5, 5, -12, 4, -6, 4, -4, -6]",Auger-Aliassime F.,Dzumhur D.,Auger-Aliassime F.
"[5, -4, 6, -5, 4, -5, 4, -4, 14, 6]",Auger-Aliassime F.,Fucsovics M.,Auger-Aliassime F.
"[-5, -4, 6, 5, -6, -5, -4, -6]",Pospisil V.,Auger-Aliassime F.,Auger-Aliassime F.
"[5, -6, -8, 8, -6, 5, 8, 6, 14]",Ruud C.,Auger-Aliassime F.,Auger-Aliassime F.
"[6, -6, 6, 5, 10, -8, 4, -4, 8]",Auger-Aliassime F.,Struff J-L.,Auger-Aliassime F.
"[4, 8, 8, -6, -8, -5, -6, -5, 5, -8]",Auger-Aliassime F.,Vanni L.,Auger-Aliassime F.
"[6, 6, 5, 4, -4, 4, -5, 4]",Krajinovic F.,Barrere G.,Krajinovic F.
"[5, 5, 10, 5, -8, 4, -8, 6]",Struff J-L.,Barrere G.,Struff J-L.
"[6, 6, 5, 6, -4, -8, 10, 5]",Goffin D.,Barrere G.,Goffin D.
"[-6, -4, 6, -4, -5, -4, 4, -5]",Hurkacz H.,Barrere G.,Barrere G.
"[4, 5, 6, 6, 8, -8, -6, -6, 6]",Albot R.,Basilashvili N.,Albot R.
"[4, -6, 8, -5, 5, -6, 4, -4, 10, -6, 5, -8, 6]",Basilashvili N.,Brands D.,Brands D.
"[4, 5, -5, 6, -6, 5, 10, 4]",Rublev A.,Basilashvili N.,Rublev A.
"[5, -8, 8, 10, -10, -4, 5, 6, 4]",Thiem D.,Basilashvili N.,Thiem D.
"[8, -5, -8, 5, -4, 5, -4, 12, -10, 5, 5, 4]",Zverev A.,Basilashvili N.,Zverev A.
"[5, -10, -5, 5, 4, -5, 5, -4, -5, 5, -12, -5]",Basilashvili N.,Zverev M.,Zverev M.
"[5, -6, -5, -5, 10, -8, 4, -10, 6, -5]",Anderson K.,Basilashvili N.,Anderson K.
"[4, -10, -8, -4, 6, -10, 10, -6, 8, -10]",Tsitsipas S.,Basilashvili N.,Tsitsipas S.
"[6, -5, 5, -6, 5, -5, 10, -4, -6, -5]",Verdasco F.,Basilashvili N.,Verdasco F.
"[8, -4, -10, 4, 4, -4, 16, -5, -4, 6, -12, -5]",Basilashvili N.,Zverev A.,Zverev A.
"[-5, -12, 6, -6, 5, -5, 4, -8, 5, -5]",Verdasco F.,Basilashvili N.,Verdasco F.
"[-6, -6, 6, -8, 4, 16, 6, -6, 14, -6, 4, -5, -5]",Haase R.,Basilashvili N.,Basilashvili N.
"[8, -6, -8, -6, -6, -4, 8, -5]",Jaziri M.,Basilashvili N.,Basilashvili N.
"[8, -4, 10, -10, 6, -5, 8, -4, 4, 10]",Basilashvili N.,Khachanov K.,Basilashvili N.
"[8, -6, 4, -5, -12, -5, 6, -5, 5, -5]",Pella G.,Basilashvili N.,Basilashvili N.
"[8, -5, 6, 6, -8, 10, 5, -5, 12]",Basilashvili N.,Zverev M.,Basilashvili N.
"[6, 14, -6, 6, -8, 4, -4, 6, -8, 5]",Albot R.,Basilashvili N.,Basilashvili N.
"[4, -6, 4, -4, 4, 6, -4, -6, -6, 5, -12, -12]",Basilashvili N.,Berankis R.,Basilashvili N.
"[12, -8, 5, -8, 10, -6, 8, -5, -5, -8]",Cuevas P.,Basilashvili N.,Basilashvili N.
"[5, -6, -5, -8, 4, -6, 6, -6, -8]",Basilashvili N.,Lajovic D.,Basilashvili N.
"[6, -10, 5, -5, 10, -4, -4, -5, 6, -8]",Paire B.,Basilashvili N.,Basilashvili N.
"[6, -5, 6, -5, -14, -10, -5, -4]",Basilashvili N.,Struff J-L.,Basilashvili N.
"[12, 4, 6, -5, 10, -4, 8, -6, -6, -10, 8, -6, -10]",Basilashvili N.,Kwon S.,Basilashvili N.
"[3, 6, -4, 4, 5, 5, 6, -6, 4]",Berrettini M.,Bautista-Agut R.,Berrettini M.
"[8, -5, -6, -4, 6, -5, 6, -4, 5, 8, 6, -6, -4]",Bautista-Agut R.,Berrettini M.,Berrettini M.
"[8, -8, 8, -5, 4, -8, 4, -5, 6, -10, 4, -4, 5]",De Minaur A.,Bautista-Agut R.,De Minaur A.
"[5, -4, 4, -5, 5, -6, 6, -5, 6, -5, 6, -4, 5]",Dimitrov G.,Bautista-Agut R.,Dimitrov G.
"[5, -5, 6, -10, 5, -4, 4, -4, 8, -5, 8, -4, 5]",Isner J.,Bautista-Agut R.,Isner J.
"[5, -5, -4, -6, 5, 8, -6, 8, 8, -10, 4, -5, 6]",Struff J-L.,Bautista-Agut R.,Struff J-L.
"[5, -6, -8, -4, 6, -10, 4, -16, 8, -6]",Bautista-Agut R.,Zverev M.,Zverev M.
"[5, -4, 6, -5, 14, -5, 4, -6, 5, -10, 5, -6, -5]",Basilashvili N.,Bautista-Agut R.,Basilashvili N.
"[5, -6, 4, -6, 10, -6, -6, -4, 4, -8]",Berrettini M.,Bautista-Agut R.,Berrettini M.
"[6, -14, 5, -5, 8, -6, -8, -6, 5, -10]",Bautista-Agut R.,Carreno-Busta P.,Carreno-Busta P.
"[6, -5, 6, -5, 5, -5, 4, -6, 5, -5, 4, -5, -6]",Bautista-Agut R.,Gasquet R.,Gasquet R.
"[-8, -4, 6, -8, 4, -4, 6, 6, 8, -6, 4, 6]",Tsitsipas S.,Bautista-Agut R.,Tsitsipas S.
"[6, 8, 5, -5, 5, -5, 5, -5, -5, 4]",Bautista-Agut R.,Fognini F.,Bautista-Agut R.
"[5, 5, -4, 5, -4, -8, -4, 5, -5, 6, -6, -6]",Gasquet R.,Bautista-Agut R.,Bautista-Agut R.
"[4, 22, 5, 8, 5, 12]",Bautista-Agut R.,Metreveli A.,Bautista-Agut R.
"[8, -4, 6, -4, -10, -6, 5, -4, 8, -5]",Opelka R.,Bautista-Agut R.,Bautista-Agut R.
"[12, -4, 10, -6, -5, -6, 4, -6, 4, -12]",Ramanathan R.,Bautista-Agut R.,Bautista-Agut R.
"[-6, -4, 5, -4, -6, -5, -6]",Roncadelli F.,Bautista-Agut R.,Bautista-Agut R.
"[4, 6, 6, -6, -5, 10, 8, 5]",Bautista-Agut R.,Schwartzman D.,Bautista-Agut R.
"[5, -5, 6, -6, -6, -6, -5, -6]",Soeda G.,Bautista-Agut R.,Bautista-Agut R.
"[5, -14, 5, -10, -6, 8, 4, -8, 6, -8, 4, -6, 10]",Bautista-Agut R.,Tipsarevic J.,Bautista-Agut R.
